is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
True,1510,10,2,1,27,31,14,90521,54975,672,137,7550,False,3,0,44,24193,29415,45523,459
False,2050,7,2,2,27,60,28,118297,65237,743,201,10250,False,4,0,85,23778,22447,42202,401
True,2050,10,2,0,28,54,27,129953,68827,862,193,10250,False,6,0,83,25638,30258,38653,438
True,1606,8,4,1,28,52,21,88595,55800,620,94,8030,False,4,0,49,27073,34908,51350,441
False,1606,1,0,0,21,34,28,80659,46902,603,151,8030,False,4,0,56,25462,32438,46184,423
True,1823,9,2,1,39,74,31,120580,65679,631,177,9115,False,3,0,60,28251,40704,55797,377
False,1823,3,2,0,31,50,39,109733,56001,659,132,9115,False,4,0,55,27970,41595,53043,363
False,1844,4,1,0,26,38,43,125761,59672,762,137,9220,False,2,0,47,22839,30080,45199,390
True,1844,10,3,1,43,62,26,148315,68355,696,209,9220,False,7,0,68,27811,32680,44410,428
True,995,2,1,0,16,16,5,46235,31766,390,56,4975,False,3,0,27,25658,33037,46060,422
False,995,1,1,0,5,3,16,38619,25715,367,43,4975,False,2,0,25,22153,31097,45167,388
True,1626,8,2,0,27,51,20,80707,55196,683,124,8130,False,4,0,54,24226,21634,38508,410
False,1626,4,1,1,20,28,27,88692,54043,655,86,8130,False,4,0,48,25269,22651,33065,420
True,1837,8,4,0,57,96,36,150268,66634,516,152,9185,False,7,0,70,26634,33415,46483,340
False,1837,4,1,1,36,46,57,112050,59193,565,123,9185,False,1,0,58,24998,28952,47857,363
False,1742,5,1,1,20,23,32,106498,54368,657,147,8710,False,4,0,57,21764,26431,44337,422
True,1742,8,3,0,32,45,20,95832,61395,660,109,8710,False,3,0,51,25516,29016,44627,423
True,2079,8,4,1,41,70,30,122197,67731,675,230,10395,False,6,0,70,23675,26468,40873,411
False,2079,6,1,1,30,59,41,117466,67421,674,151,10395,False,3,0,76,23300,24285,40517,420
