is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
False,1184,2,1,0,16,15,26,46191,33279,360,56,5920,False,2,0,43,23606,26744,40624,317
True,963,1,1,0,18,15,2,35398,29588,370,43,4815,False,2,0,23,24563,25862,32221,412
False,963,0,1,0,2,4,18,24228,22280,354,64,4815,False,2,0,26,19766,20205,38234,393
True,1066,2,2,0,16,18,2,44931,33095,395,57,5330,False,4,0,37,23172,25141,36420,386
False,1066,1,0,0,2,2,16,33919,25151,361,51,5330,False,0,0,32,20406,22610,40199,399
True,1740,5,2,1,23,21,18,70948,54086,648,120,8700,False,2,0,62,22861,21057,38159,387
False,1740,3,2,0,18,29,23,80243,50054,686,125,8700,False,6,0,70,22142,24536,36309,423
False,1780,2,2,0,21,35,27,90604,50084,649,206,8900,False,3,0,44,25444,28514,38318,428
True,1780,7,2,2,27,51,21,110709,57372,574,195,8900,False,4,0,78,22066,25502,40442,401
True,1286,5,3,0,35,41,18,88551,47018,465,182,6430,False,6,0,43,28546,35387,48453,424
False,1286,1,0,0,18,24,35,57888,36646,400,122,6430,False,0,0,26,24955,27216,48022,368
True,2303,10,4,2,32,40,21,150639,75807,930,289,11515,False,9,0,65,22488,22649,35844,440
False,2303,3,1,0,21,39,32,123925,65333,903,82,11515,False,2,0,79,21337,19130,36073,410
False,2116,5,3,1,38,39,48,131822,68878,750,147,10580,False,4,0,62,24280,31856,39684,410
True,2116,11,2,1,48,81,38,155311,78210,712,164,10580,False,7,0,88,24353,28384,45020,395
True,1956,4,4,0,36,59,21,133347,60659,624,119,9780,False,5,0,73,21536,21513,35980,358
False,1956,5,0,1,21,37,36,93213,55372,654,101,9780,False,2,0,82,22455,20429,32909,392
False,1919,0,1,1,29,42,44,119241,59545,592,95,9595,False,1,0,62,22336,21573,46413,321
True,1919,11,4,0,44,55,29,148775,68450,723,94,9595,False,7,0,54,28172,32041,40773,437
True,1630,9,1,0,32,59,22,105575,54494,544,116,8150,False,2,0,54,23723,30029,39447,324
False,1630,3,2,0,22,29,32,77861,48087,580,143,8150,False,6,0,57,23906,26073,39912,381
True,1476,9,4,1,30,28,16,78570,51254,544,70,7380,False,3,0,55,23940,23610,38450,387
False,1476,2,0,0,16,12,30,61367,42456,535,90,7380,False,3,0,53,23117,22816,32655,395
True,1836,9,2,0,41,54,24,106806,60309,647,131,9180,False,3,0,71,22396,21189,39016,386
False,1836,6,2,0,24,26,41,105698,56244,644,126,9180,False,5,0,54,25357,27397,35049,439
False,1723,2,0,0,21,43,34,99525,50908,589,157,8615,False,5,0,53,24423,27673,42285,413
True,1723,9,4,1,34,70,21,125429,58431,606,125,8615,False,3,0,54,22912,28713,42036,387
False,1863,3,1,0,27,18,58,86140,55823,604,93,9315,False,4,0,39,25538,28951,51201,378
True,1863,11,4,1,58,55,28,147817,68373,562,85,9315,False,3,0,52,24496,34754,43204,293
True,2026,10,2,1,35,50,31,133600,67922,724,226,10130,False,4,0,76,26185,25923,35017,424
False,2026,7,3,1,31,37,35,127029,65252,747,119,10130,False,4,0,69,21488,20153,40453,401
True,1795,10,2,1,32,37,26,117614,63470,699,99,8975,False,5,0,52,25260,26460,38393,407
False,1795,2,2,0,26,34,32,111991,51483,584,66,8975,False,3,0,52,24438,25276,43053,381
True,2491,9,4,1,34,45,51,172373,78169,808,271,12455,False,7,0,79,23699,23984,39593,405
False,2491,6,2,1,51,82,35,238903,86610,873,146,12455,False,4,0,76,25917,23015,40990,401
True,2003,11,4,1,26,25,23,118544,69284,871,104,10015,False,7,0,52,26017,27727,46481,459
False,2003,5,1,0,23,30,26,147466,60122,759,73,10015,False,2,0,65,21818,28992,38177,357
True,2415,7,5,1,40,53,44,164934,75157,711,293,12075,False,4,0,117,23226,31393,43161,352
False,2415,9,0,1,44,81,40,211732,76009,703,318,12075,False,6,0,102,23902,30518,42073,375
False,2064,7,1,0,41,40,47,134716,67306,658,282,10320,False,3,0,68,27268,21911,33270,412
True,2064,11,4,1,47,55,41,129698,72809,666,124,10320,False,6,0,48,22747,18108,36546,364
False,1323,0,0,0,20,21,45,71566,36205,320,81,6615,False,5,0,22,22478,29999,53756,284
True,1323,10,2,0,45,29,20,98549,52328,505,110,6615,False,1,0,31,30620,44227,44129,403
False,2017,5,0,1,38,56,40,129089,66363,623,199,10085,False,2,0,56,22306,18684,38584,387
True,2017,8,4,0,40,75,38,138832,65804,634,224,10085,False,6,0,73,25135,23945,30027,392
False,1976,4,1,0,22,31,29,87876,57706,695,167,9880,False,3,0,80,19961,21715,33644,343
True,1976,11,4,1,29,27,22,102030,63930,729,136,9880,False,7,0,43,23247,20752,35416,396
True,1777,10,3,0,43,58,19,101853,64827,630,109,8885,False,8,0,61,28454,30680,45312,374
False,1777,2,1,1,19,32,43,96943,52040,604,141,8885,False,1,0,57,22953,30887,41786,362
False,1385,2,0,0,15,12,41,48852,37189,406,76,6925,False,2,0,21,21435,23654,40132,306
True,1385,11,3,0,41,41,15,81276,53094,534,234,6925,False,4,0,36,27617,32707,40183,403
False,1685,1,1,0,27,44,52,92294,50108,527,101,8425,False,0,0,39,21256,24430,45549,321
True,1685,11,3,0,52,36,27,143059,62867,563,108,8425,False,7,0,52,28511,33140,43176,425
True,1558,8,4,0,49,58,24,124399,56132,497,153,7790,False,6,0,55,28256,43852,45424,376
False,1558,2,0,0,24,27,49,90502,46099,478,138,7790,False,0,0,60,22407,30198,56929,310
False,1483,1,0,0,15,20,36,66027,39671,480,192,7415,False,1,0,49,23079,26834,48573,361
True,1483,6,3,1,36,56,15,85963,52380,489,79,7415,False,6,0,38,26129,34041,41287,388
False,1941,1,1,1,37,70,46,116642,65684,722,263,9705,False,2,0,70,25084,25634,40776,369
True,1941,11,4,0,46,58,37,141768,69827,737,166,9705,False,3,0,49,27419,27462,42851,409
True,1592,11,1,0,31,73,10,88427,55602,646,137,7960,False,5,0,54,23270,24105,44170,436
False,1592,3,2,0,10,9,31,71734,43027,614,133,7960,False,2,0,61,24889,29978,37356,409
True,1681,11,1,1,41,47,21,108679,62830,632,152,8405,False,5,0,49,26997,28672,39347,423
False,1681,2,3,0,21,21,41,68827,47947,589,81,8405,False,3,0,54,25477,25968,40432,381
True,1843,11,4,1,48,60,30,126772,69395,666,202,9215,False,5,0,70,26146,33760,43827,373
False,1843,3,0,0,30,35,48,112608,56306,660,122,9215,False,2,0,63,23984,31636,49515,400
True,1707,10,2,1,29,51,28,120605,56795,591,168,8535,False,5,0,52,20781,26396,35757,404
False,1707,2,1,0,28,45,29,81102,46040,475,154,8535,False,1,0,56,23808,23719,37086,324
False,2035,2,0,0,24,30,35,111827,57730,726,280,10175,False,5,0,77,20797,24348,34049,374
True,2035,9,4,1,35,45,24,115318,68807,806,80,10175,False,4,0,65,23861,19390,37833,433
False,1748,3,1,0,33,36,46,96200,56006,590,165,8740,False,0,0,57,26605,30487,49179,339
True,1748,9,3,0,46,59,34,135970,61007,560,190,8740,False,5,0,61,27612,40136,43385,358
True,1950,8,4,2,50,98,23,149010,66921,620,198,9750,False,8,0,59,26597,39595,39760,373
False,1950,3,1,0,23,40,50,103131,56979,704,150,9750,False,1,0,50,22293,23225,54128,347
True,1505,11,3,0,35,43,20,95693,54475,555,106,7525,False,6,0,40,27411,28295,38180,406
False,1505,0,0,1,20,35,35,65718,43994,524,110,7525,False,1,0,50,21839,21388,40288,350
False,2116,2,2,0,29,46,36,104567,66417,860,62,10580,False,7,0,75,25359,24825,36771,414
True,2116,10,3,1,36,37,29,124469,73880,801,124,10580,False,3,0,70,25270,23744,36789,387
False,1690,2,1,0,21,14,37,76246,48200,565,125,8450,False,1,0,67,23251,25796,50433,330
True,1690,8,3,1,37,57,21,101076,58979,587,186,8450,False,4,0,73,25587,34952,38983,361
False,2160,5,3,0,32,40,43,110731,64048,746,132,10800,False,3,0,73,23156,23259,41745,355
True,2160,10,2,2,43,59,32,141289,75076,766,169,10800,False,7,0,71,24055,25437,35048,407
False,1288,1,0,0,9,12,32,49042,34301,459,103,6440,False,2,0,37,20421,21124,42130,376
