match_id,team_id,is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
NA1_5168491809,100,True,1761,9,3,0,33,40,22,106228,57158,556,150,8805,False,6,0,47,23227,24975,33801,338
NA1_5168491809,200,False,1761,2,1,1,22,38,33,82034,50418,524,92,8805,False,0,0,38,18958,21922,37059,275
NA1_5150166433,100,True,1531,11,1,0,48,37,14,113663,56555,580,145,7655,False,5,0,46,26320,36338,42529,379
NA1_5150166433,200,False,1531,0,1,0,14,14,48,81907,39573,467,71,7655,False,2,0,43,19495,22423,48242,315
NA1_5150136960,100,True,1569,8,1,1,38,46,29,101675,53743,480,63,7845,False,0,0,47,23396,25950,35768,367
NA1_5150136960,200,False,1569,1,2,0,29,43,38,84647,45885,473,105,7845,False,4,0,47,22320,21271,37026,385
NA1_5150091112,100,False,2251,4,2,0,34,40,42,130033,68714,833,77,11255,False,5,0,73,22134,23616,42906,343
NA1_5150091112,200,True,2251,11,3,0,42,53,34,148965,74924,821,143,11255,False,1,0,66,24575,29326,33058,360
NA1_5149581265,100,False,2068,2,0,0,22,29,32,93054,56123,665,111,10340,False,4,0,51,21435,20702,33199,369
NA1_5149581265,200,True,2068,11,4,1,32,42,22,119654,63945,541,168,10340,False,5,0,59,20989,20082,36829,323
NA1_5149568014,100,False,1677,3,1,0,23,20,41,61394,48180,588,76,8385,False,2,0,47,24533,28112,40852,354
NA1_5149568014,200,True,1677,6,3,1,41,77,23,90956,56319,526,218,8385,False,6,0,72,23418,27704,38747,323
NA1_5140520909,100,False,3310,8,2,1,56,74,72,296072,97855,940,627,16550,False,7,0,100,21086,21381,35776,363
NA1_5140520909,200,True,3310,9,6,2,72,77,56,250642,101274,916,244,16550,False,6,0,118,22029,23575,33359,335
NA1_5131833013,100,True,2354,10,0,1,18,24,40,95761,66222,676,117,11770,False,2,0,82,19846,20277,32226,325
NA1_5131833013,200,False,2354,4,5,1,40,62,18,119855,73963,815,98,11770,False,7,0,80,22146,19249,33270,366
NA1_5131198412,100,True,2284,10,2,2,46,57,33,138805,76192,744,152,11420,False,6,0,75,21678,22208,31089,362
NA1_5131198412,200,False,2284,6,3,0,33,29,46,117629,66659,686,334,11420,False,3,0,82,22930,20171,35586,300
NA1_5131187077,100,True,1421,11,3,0,56,60,23,117781,58158,453,173,7105,False,6,0,42,30108,46320,45096,369
NA1_5131187077,200,False,1421,0,0,0,23,22,56,67037,38520,325,145,7105,False,0,0,29,22079,29098,57037,247
NA1_5131163677,100,True,1732,10,1,0,41,36,28,105830,59843,572,145,8660,False,4,0,61,22715,24563,40026,336
NA1_5131163677,200,False,1732,2,3,0,27,24,41,90567,49481,425,288,8660,False,4,0,55,21302,23795,37240,258
NA1_5173898890,100,False,2824,6,3,1,48,80,48,287835,89395,896,343,14120,False,4,0,97,21234,26774,42078,352
NA1_5173898890,200,True,2824,11,3,1,48,61,48,248907,91443,972,367,14120,False,8,0,84,22394,27820,45032,427
NA1_5173879609,100,False,2019,7,1,0,17,14,48,72798,57334,660,185,10095,False,1,0,60,21616,21105,47313,355
NA1_5173879609,200,True,2019,10,3,1,48,89,17,156137,68520,742,316,10095,False,9,0,55,25137,34078,31981,400
NA1_5170890488,100,True,2060,11,2,1,44,64,25,140849,69065,657,170,10300,False,5,0,64,24399,25969,35588,329
NA1_5170890488,200,False,2060,4,3,0,24,18,44,90495,57953,694,98,10300,False,5,0,49,23191,21251,41408,342
NA1_5170843994,100,False,1993,2,1,0,25,27,57,110651,56377,519,112,9965,False,3,0,45,24227,30764,46192,321
NA1_5170843994,200,True,1993,9,3,1,56,87,25,159875,66698,551,153,9965,False,5,0,50,24043,30822,45719,336
NA1_5132998441,100,False,1760,3,1,0,30,30,47,89128,54718,529,131,8800,False,5,0,49,25456,26801,45069,355
NA1_5132998441,200,True,1760,9,3,1,47,58,30,128116,63630,564,136,8800,False,2,0,56,24013,30532,45944,338
NA1_5142026983,100,True,2383,11,2,1,33,47,46,150186,73136,757,178,11915,False,6,0,68,21630,24072,33979,346
NA1_5142026983,200,False,2383,4,3,1,46,53,33,151860,72344,749,81,11915,False,3,0,63,25010,26659,39873,338
NA1_5125661150,100,True,633,0,0,0,7,4,2,15881,17147,200,12,3165,False,1,0,15,0,0,0,0
NA1_5125661150,200,False,633,0,0,0,2,2,7,9888,14510,168,24,3165,False,2,0,15,0,0,0,0
NA1_5125617390,100,True,2698,11,4,3,51,77,39,195133,92995,858,190,13490,False,7,0,103,23365,27865,40633,342
NA1_5125617390,200,False,2698,10,3,0,39,57,51,168476,81837,830,109,13490,False,6,0,78,24013,26174,42092,362
NA1_5124256018,100,False,2133,5,1,0,42,53,39,163535,70523,753,165,10665,False,4,0,61,22143,26218,45418,340
NA1_5124256018,200,True,2133,11,4,2,39,47,42,152316,73884,704,111,10665,False,5,0,65,24210,30805,39670,378
NA1_5123606709,100,True,2527,11,4,0,36,48,35,193628,75187,761,208,12635,False,8,0,70,20711,18463,33542,368
NA1_5123606709,200,False,2527,6,3,0,35,55,36,158861,73064,770,209,12635,False,3,0,69,21028,18029,31311,324
NA1_5172052358,100,True,1959,11,2,1,37,37,30,114055,64542,602,100,9795,False,7,0,49,21536,18835,39102,353
NA1_5172052358,200,False,1959,6,3,0,30,40,37,134158,60810,635,125,9795,False,1,0,58,22327,19021,38409,374
NA1_5172041380,100,False,1604,4,0,0,34,38,37,88915,51598,498,81,8020,False,1,0,26,23954,23668,53880,322
NA1_5172041380,200,True,1604,11,4,0,37,32,34,105181,56048,478,179,8020,False,7,0,36,26208,35497,40788,381
NA1_5172033308,100,False,1245,1,0,0,12,11,17,40779,31397,386,70,6225,False,2,0,37,22055,24556,36939,339
NA1_5172033308,200,True,1245,6,2,0,17,20,12,35642,38003,387,82,6225,False,2,0,33,24531,19225,40304,331
NA1_5172017638,100,False,1848,2,2,0,23,37,43,100298,52297,539,189,9240,False,2,0,36,21074,20574,41768,326
NA1_5172017638,200,True,1848,8,2,1,43,46,23,119785,63918,552,151,9240,False,6,0,45,25425,25802,35440,372
NA1_5172003106,100,True,1750,11,3,0,35,41,23,101536,59321,616,151,8750,False,6,0,48,26618,32315,40662,378
NA1_5172003106,200,False,1750,2,1,1,23,33,35,72151,48303,447,109,8750,False,2,0,58,22818,25007,44582,304
NA1_5164286366,100,True,2375,9,5,1,46,63,38,163993,73724,642,170,11875,False,6,0,73,20447,19273,33769,330
NA1_5164286366,200,False,2375,3,1,2,38,55,46,150319,68293,632,158,11875,False,4,0,67,19988,17595,30295,322
NA1_5164220621,100,True,2584,11,4,1,53,66,52,206967,81986,706,206,12920,False,2,0,82,23706,29400,43619,339
NA1_5164220621,200,False,2584,5,3,0,52,78,53,198972,74740,723,229,12920,False,8,0,64,23644,28976,46179,351
NA1_5160116947,100,False,1362,0,0,0,12,17,21,41932,32545,364,169,6810,False,1,0,34,20260,17304,37524,309
NA1_5160116947,200,True,1362,9,3,0,21,21,12,68365,44466,490,75,6810,False,2,0,38,23004,26144,34289,373
NA1_5160066570,100,True,1769,9,2,0,20,19,29,108239,54744,630,147,8845,False,5,0,75,21249,30893,38620,356
